1|1|2
2|1|1
3|2|3
4|2|1
5|3|2
6|3|1
7|4|2
8|4|1
9|5|2
10|5|1
11|6|2
12|6|1
13|7|2
14|7|1
15|8|2
16|8|1
17|9|2
18|9|1
19|10|2
20|10|1
21|11|2
22|11|1
23|12|2
24|12|1
25|13|2
26|13|1
27|14|2
28|14|1
29|15|2
30|15|1
31|16|2
32|16|1
33|17|2
34|17|1
35|18|2
1|19|1
2|19|2
3|20|1
4|20|2
5|21|1
6|21|2
7|22|1
8|22|2
9|23|1
10|23|2
11|24|1
12|24|2
13|25|1
14|25|2
15|26|1
16|26|2
17|27|1
18|27|2
19|28|1
20|28|2
21|29|1
22|29|2
23|30|1
24|30|2
25|31|1
26|31|2
27|32|1
28|32|2
29|33|1
30|33|2
31|34|1
32|34|2
33|35|1
34|35|2
35|32|2
